                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4652,                 3.1366,                  1.711,                0.38922,                0.40909,                 0.4362,                0.29458,                 1.4423,                 3.2915,                 2.1049,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                  1.465,                  2.477,                 1.7612,                0.63683,                0.79155,                0.83681,                0.49633,                 1.2071,                 4.7657,                 1.6081,             0.00011091,             0.00011091,             0.00011091
                      3,                  1.156,                 1.9668,                 1.4643,                   0.59,                0.78922,                0.68222,                0.50357,                 1.0105,                 3.3706,                 1.4896,             0.00016522,             0.00016522,             0.00016522
                      4,                 1.0877,                 1.4245,                 1.2949,                0.95229,                0.91727,                0.96428,                0.65571,                 1.1044,                 1.7277,                 1.4519,             0.00021292,             0.00021292,             0.00021292
                      5,                0.91265,                 1.0129,                 1.1628,                0.93384,                0.87496,                 0.9544,                 0.6618,                 1.0514,                 1.2759,                 1.5309,             0.00025402,             0.00025402,             0.00025402
                      6,                0.93873,                0.98905,                  1.197,                0.89658,                   0.95,                0.96858,                0.71516,                0.90039,                 1.0243,                 1.3028,             0.00028852,             0.00028852,             0.00028852
                      7,                0.93921,                0.93712,                 1.2032,                0.87503,                0.94997,                0.94239,                0.68676,                0.95448,                 1.4022,                 1.3639,             0.00031641,             0.00031641,             0.00031641
                      8,                0.96697,                0.95824,                 1.2336,                0.96723,                0.92836,                0.98911,                0.74509,                0.96538,                 1.0426,                 1.2974,             0.00033771,             0.00033771,             0.00033771
                      9,                0.89825,                0.82866,                 1.1499,                0.97436,                0.98669,                0.99358,                0.75162,                0.89867,                0.91598,                  1.212,              0.0003524,              0.0003524,              0.0003524
                     10,                0.92799,                  0.731,                 1.2174,                0.93442,                0.99223,                0.98897,                0.76943,                0.81402,                0.85898,                 1.1784,              0.0003605,              0.0003605,              0.0003605
                     11,                0.84292,                 1.0423,                 1.1931,                0.45553,                   0.94,                0.52004,                  0.364,                0.84763,                 2.8305,                 1.2593,             0.00036199,             0.00036199,             0.00036199
                     12,                0.82907,                0.87306,                 1.1598,                0.52954,                0.98048,                0.61287,                0.44274,                0.89014,                 4.9572,                 1.3543,             0.00035688,             0.00035688,             0.00035688
                     13,                0.92063,                0.83256,                  1.198,                0.50539,                   0.95,                0.55052,                0.39234,                0.78844,                 5.9305,                 1.1456,             0.00034517,             0.00034517,             0.00034517
                     14,                0.72477,                0.70666,                 1.0995,                0.54402,                   0.94,                0.79428,                0.60636,                0.77069,                 2.1702,                 1.0972,             0.00032686,             0.00032686,             0.00032686
                     15,                0.72646,                0.66616,                 1.1505,                 0.7327,                0.96291,                0.91361,                0.71257,                 0.7975,                 1.3945,                 1.1869,             0.00030194,             0.00030194,             0.00030194
                     16,                0.79913,                0.98456,                 1.1177,                0.73155,                0.95587,                0.97277,                 0.7699,                0.75914,                 1.1349,                 1.1544,             0.00027043,             0.00027043,             0.00027043
                     17,                0.71159,                0.63821,                 1.0758,                0.72377,                0.96814,                 0.9554,                0.77835,                0.69707,                0.96844,                 1.0873,             0.00023231,             0.00023231,             0.00023231
                     18,                0.67078,                0.61107,                 1.0998,                0.98412,                      1,                  0.995,                0.83324,                0.65637,                0.51111,                 1.0378,              0.0001876,              0.0001876,              0.0001876
                     19,                0.63211,                0.53612,                 1.0394,                0.99467,                      1,                  0.995,                0.84033,                0.65347,                0.49763,                  1.035,             0.00013628,             0.00013628,             0.00013628
                     20,                0.67301,                 0.5683,                  1.122,                0.99567,                      1,                  0.995,                0.84699,                0.64801,                0.48703,                 1.0256,             7.8357e-05,             7.8357e-05,             7.8357e-05
